title	anidb	anilist	animenewsnetwork	animeplanet	anisearch	annict	imdb	kaize	kaize_id	kitsu	livechart	myanimelist	nautiljon	nautiljon_id	notify	otakotaku	shikimori	shoboi	silveryasha	simkl	themoviedb	trakt	trakt_type	trakt_season
Yuu☆Yuu☆Hakusho	312	392		yu-yu-hakusho	3317	2300		yuuyuuhakusho	3335	359	3676	392			wlr2cKmmR	1146	392	1696	1561	39183				
Yuu☆Yuu☆Hakusho (Movie)	1084	882	607	yu-yu-hakusho-the-movie	2758	3748	tt1119171	yuuyuuhakusho-movie	19570	782	5856	882			5AjAcKmig		882		4396	36749		30871	movies	
Yuu☆Yuu☆Hakusho Picture Drama		6964		yu-yu-hakusho-picture-drama	8451			yuuyuuhakusho-picture-drama	19571	4809	6452	6964			-QIgpFiig		6964							
Yuu☆Yuu☆Hakusho: Eizou Hakusho - Ankoku Bujutsukai no Shou		2125	3350		5787	14052		yuuyuuhakusho-eizou-hakusho-ankoku-bujutsukai-no-shou	19572	1922	6294	2125			hB_YcKiig		2125		5417					
Yuu☆Yuu☆Hakusho: Eizou Hakusho - Opening Ending Encyclopedia		176862		yu-yu-hakusho-eizou-hakusho-opening-ending-encyclopedia				yuuyuuhakusho-eizou-hakusho-opening-ending-encyclopedia	22142	47000	12312	42880					42880		4397					
Yuu☆Yuu☆Hakusho: Eizou Hakusho II		2126	3349	yu-yu-hakusho-eizou-hakusho	8526	14053		yuuyuuhakusho-eizou-hakusho-ii	19573	1923	6663	2126			rU_LcKmig		2126		5418					
Yuu☆Yuu☆Hakusho: Meikai Shitou-hen - Honoo no Kizuna	753	883	713	yu-yu-hakusho-the-movie-poltergeist-report	1904	3749	tt0203237	yuuyuuhakusho-meikai-shitou-hen-honoo-no-kizuna	19574	783	6060	883			uBCAcFimg		883			40597				
Yuu☆Yuu☆Hakusho: Mu Mu Hakusho - Nightmare Hakusho		12455		yu-yu-hakusho-mu-mu-hakusho	8841			yuuyuuhakusho-mu-mu-hakusho-nightmare-hakusho	19575	6738	7532	12455			InJHpFimR		12455							
Yuu☆Yuu☆Hakusho: Two Shots/Noru ka Soru ka	14506	102631		yu-yu-hakusho-specials	13605	5676		yuuyuuhakusho-two-shotsnoru-ka-soru-ka	3333	14128	3018	36951			TwYHhKimR	1147	36951		2013	1573443				
Yuwang Jungle				jungle-of-desire				yuwang-jungle				53027					53027							
